,ExpressId,GlobalId,Class,PredefinedType,Name,Level,Type,Pset_StairCommon.TreadLengthAtInnerSide,Pset_SlabCommon.PitchAngle,Pset_MemberCommon.Slope,Qto_DoorBaseQuantities.Area,Pset_ReinforcementBarPitchOfColumn.Reference,Qto_WallBaseQuantities.NetVolume,Pset_ReinforcementBarPitchOfWall.Reference,Pset_MemberCommon.IsExternal,Pset_SlabCommon.IsExternal,Qto_BeamBaseQuantities.NetSurfaceArea,Qto_WindowBaseQuantities.Height,Pset_StairFlightCommon.Reference,Pset_BuildingElementProxyCommon.Reference,Pset_BeamCommon.Reference,Pset_WallCommon.ThermalTransmittance,Pset_WindowCommon.ThermalTransmittance,Qto_RailingBaseQuantities.Length,Qto_BeamBaseQuantities.Length,Pset_StairCommon.NosingLength,Pset_StairFlightCommon.RiserHeight,Pset_StairCommon.NumberOfRiser,Pset_StairCommon.TreadLength,Qto_MemberBaseQuantities.CrossSectionArea,Pset_WallCommon.LoadBearing,Pset_WindowCommon.Reference,Qto_SlabBaseQuantities.NetArea,Qto_MemberBaseQuantities.GrossSurfaceArea,Qto_DoorBaseQuantities.Width,Pset_WallCommon.Reference,Qto_WallBaseQuantities.Length,Pset_WindowCommon.IsExternal,Pset_ColumnCommon.LoadBearing,Qto_MemberBaseQuantities.NetVolume,Pset_StairFlightCommon.WalkingLineOffset,Qto_SlabBaseQuantities.GrossVolume,Pset_EnvironmentalImpactIndicators.Reference,Pset_BeamCommon.Slope,Qto_BeamBaseQuantities.CrossSectionArea,Qto_MemberBaseQuantities.NetSurfaceArea,Qto_MemberBaseQuantities.OuterSurfaceArea,Pset_StairCommon.RiserHeight,Pset_StairCommon.IsExternal,Qto_SlabBaseQuantities.Perimeter,Pset_BeamCommon.Span,Qto_WallBaseQuantities.NetSideArea,Pset_StairFlightCommon.TreadLengthAtInnerSide,Qto_SlabBaseQuantities.NetVolume,Pset_StairCommon.WalkingLineOffset,Qto_MemberBaseQuantities.GrossVolume,Pset_BeamCommon.LoadBearing,Qto_WallBaseQuantities.GrossFootprintArea,Pset_SlabCommon.Reference,Pset_BeamCommon.Roll,Pset_RailingCommon.Height,Pset_StairFlightCommon.TreadLengthAtOffset,Qto_StairFlightBaseQuantities.Length,Qto_StairFlightBaseQuantities.GrossVolume,Qto_WallBaseQuantities.Height,Pset_RailingCommon.IsExternal,Qto_WindowBaseQuantities.Width,Pset_ColumnCommon.Slope,Pset_DoorCommon.Reference,Qto_ColumnBaseQuantities.OuterSurfaceArea,Pset_SlabCommon.LoadBearing,Qto_MemberBaseQuantities.Length,Pset_BeamCommon.IsExternal,Pset_DoorCommon.IsExternal,Qto_ColumnBaseQuantities.CrossSectionArea,Qto_WallBaseQuantities.Width,Pset_SlabCommon.ThermalTransmittance,Pset_ManufacturerTypeInformation.Manufacturer,Qto_SlabBaseQuantities.GrossArea,Pset_StairFlightCommon.NumberOfTreads,Pset_ColumnCommon.Reference,Qto_SlabBaseQuantities.Width,Pset_ColumnCommon.IsExternal,Qto_BeamBaseQuantities.OuterSurfaceArea,Pset_WindowCommon.FireRating,Pset_StairCommon.NumberOfTreads,Pset_StairFlightCommon.NosingLength,Pset_ReinforcementBarPitchOfBeam.Reference,Qto_ColumnBaseQuantities.Length,Qto_WindowBaseQuantities.Area,Qto_BeamBaseQuantities.NetVolume,Pset_WallCommon.IsExternal,Pset_StairFlightCommon.NumberOfRiser,Pset_BuildingElementProxyCommon.IsExternal,Pset_MemberCommon.Reference,Qto_ColumnBaseQuantities.GrossVolume,Qto_DoorBaseQuantities.Height,Pset_WallCommon.ExtendToStructure,Pset_StairCommon.TreadLengthAtOffset,Pset_StairFlightCommon.TreadLength,Qto_StairFlightBaseQuantities.NetVolume,Qto_BeamBaseQuantities.GrossVolume,Pset_ReinforcementBarPitchOfSlab.Reference,Qto_BeamBaseQuantities.GrossSurfaceArea,Pset_StairCommon.Reference,Pset_OpeningElementCommon.Reference,Pset_RailingCommon.Reference
79,16855,0Jjz$4kg55QP67wdF_uenQ,IfcColumn,COLUMN,Concrete Square:250 x 250mm:312829,Roof Lower,Concrete Square:250 x 250mm,,,,,250 x 250mm,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,250 x 250mm,,,,,,,,,,,,,,,,,,,,,,,,,,,360.892388451445,,,,,0.67274440104436,,,,,,250 x 250mm,,False,,,,,,110.0,,,,,,,0.00687500000000001,,,,,,,,,,,
80,16958,0Jjz$4kg55QP67wd3_uenO,IfcColumn,COLUMN,Concrete Square:250 x 250mm:312831,Level 1 - Upper,Concrete Square:250 x 250mm,,,,,250 x 250mm,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,250 x 250mm,,,,,,,,,,,,,,,,,,,,,,,,,,,11482.9396325459,,,,,0.672744401044355,,,,,,250 x 250mm,,False,,,,,,3500.0,,,,,,,0.218749999999999,,,,,,,,,,,
81,17003,0Jjz$4kg55QP67wdF_uenO,IfcColumn,COLUMN,Concrete Square:250 x 250mm:312831,Roof Lower,Concrete Square:250 x 250mm,,,,,250 x 250mm,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,250 x 250mm,,,,,,,,,,,,,,,,,,,,,,,,,,,360.892388451442,,,,,0.672744401044355,,,,,,250 x 250mm,,False,,,,,,110.0,,,,,,,0.00687499999999998,,,,,,,,,,,
82,17106,0Jjz$4kg55QP67wd3_ue_c,IfcColumn,COLUMN,Concrete Square:250 x 250mm:312833,Level 1 - Upper,Concrete Square:250 x 250mm,,,,,250 x 250mm,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,250 x 250mm,,,,,,,,,,,,,,,,,,,,,,,,,,,11482.9396325459,,,,,0.672744401044355,,,,,,250 x 250mm,,False,,,,,,3500.0,,,,,,,0.218749999999999,,,,,,,,,,,
83,17151,0Jjz$4kg55QP67wdF_ue_c,IfcColumn,COLUMN,Concrete Square:250 x 250mm:312833,Roof Lower,Concrete Square:250 x 250mm,,,,,250 x 250mm,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,250 x 250mm,,,,,,,,,,,,,,,,,,,,,,,,,,,360.892388451442,,,,,0.672744401044355,,,,,,250 x 250mm,,False,,,,,,110.0,,,,,,,0.00687499999999998,,,,,,,,,,,
84,17254,0Jjz$4kg55QP67wd3_ue_a,IfcColumn,COLUMN,Concrete Square:250 x 250mm:312835,Level 1 - Upper,Concrete Square:250 x 250mm,,,,,250 x 250mm,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,250 x 250mm,,,,,,,,,,,,,,,,,,,,,,,,,,,11482.9396325459,,,,,0.672744401044355,,,,,,250 x 250mm,,False,,,,,,3500.0,,,,,,,0.208817499999999,,,,,,,,,,,
85,17299,0Jjz$4kg55QP67wdF_ue_a,IfcColumn,COLUMN,Concrete Square:250 x 250mm:312835,Roof Lower,Concrete Square:250 x 250mm,,,,,250 x 250mm,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,250 x 250mm,,,,,,,,,,,,,,,,,,,,,,,,,,,360.892388451446,,,,,0.672744401044355,,,,,,250 x 250mm,,False,,,,,,110.000000000001,,,,,,,0.006875,,,,,,,,,,,
86,17402,0Jjz$4kg55QP67ud7_ue_Y,IfcColumn,COLUMN,Concrete Square:250 x 250mm:312837,Level 1 - Upper,Concrete Square:250 x 250mm,,,,,250 x 250mm,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,250 x 250mm,,,,,,,,,,,,,,,,,,,,,,,,,,,10531.4960629921,,,,,0.672744401044355,,,,,,250 x 250mm,,False,,,,,,3210.0,,,,,,,0.200625,,,,,,,,,,,
87,17476,0Jjz$4kg55QP67wd3_ue_W,IfcColumn,COLUMN,Concrete Square:250 x 250mm:312839,Level 1 -  Lower,Concrete Square:250 x 250mm,,,,,250 x 250mm,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,250 x 250mm,,,,,,,,,,,,,,,,,,,,,,,,,,,1312.33595800525,,,,,0.672744401044355,,,,,,250 x 250mm,,False,,,,,,400.0,,,,,,,0.0249999999999999,,,,,,,,,,,
88,17521,0Jjz$4kg55QP67wdF_ue_W,IfcColumn,COLUMN,Concrete Square:250 x 250mm:312839,Level 1 - Upper,Concrete Square:250 x 250mm,,,,,250 x 250mm,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,250 x 250mm,,,,,,,,,,,,,,,,,,,,,,,,,,,10531.4960629921,,,,,0.672744401044355,,,,,,250 x 250mm,,False,,,,,,3210.0,,,,,,,0.200625,,,,,,,,,,,
